,train_loss,train_rmse,train_mape,valid_loss,valid_rmse,valid_mape
0,38.938222,54.194286,0.514468,21.653202,33.348726,0.155612
1,20.898551,32.679368,0.164505,19.868966,30.524489,0.144543
2,19.937174,31.317157,0.152559,20.568442,30.953985,0.144663
3,19.655472,30.988785,0.144582,19.416144,29.876867,0.133209
4,19.525266,30.724098,0.147663,19.146026,29.466607,0.132274
5,19.438192,30.61404,0.146296,18.929108,29.147246,0.139025
6,19.158646,30.296521,0.142507,19.072468,29.264365,0.133958
7,19.139895,30.191319,0.146568,18.629827,28.728926,0.132953
8,19.026451,30.127205,0.137931,18.819866,28.842247,0.141438
9,18.902102,29.873311,0.142478,18.887715,28.897506,0.127026
10,18.733056,29.722127,0.134305,18.614413,28.558213,0.123154
11,18.69684,29.530405,0.144051,18.19414,28.265495,0.121328
12,18.5996,29.412543,0.143407,18.372759,28.253915,0.11984
13,18.381543,29.198496,0.134609,18.286913,28.082465,0.1384
14,18.324427,29.0933,0.133541,18.314492,28.088151,0.141731
15,18.177582,28.936679,0.129987,17.808292,27.662227,0.12256
16,18.16595,28.780809,0.138233,17.696261,27.439738,0.1268
17,17.983362,28.623744,0.129865,17.615684,27.415413,0.122019
18,17.902035,28.542018,0.127531,18.014662,27.300094,0.165372
19,17.858447,28.436086,0.13038,17.576564,27.376256,0.116672
20,17.74921,28.335308,0.124961,17.546076,27.243687,0.120981
21,17.742714,28.130714,0.140984,17.314489,26.996176,0.119161
22,17.713043,28.062681,0.138197,17.126818,26.760428,0.116733
23,17.541064,27.946876,0.129335,17.220516,26.64965,0.123546
24,17.445207,27.813199,0.128675,17.441272,26.943096,0.132194
25,17.370057,27.750794,0.123533,16.851825,26.322804,0.1147
26,17.281402,27.520508,0.133351,16.722432,26.121116,0.115732
27,17.246473,27.448239,0.131787,17.036583,26.200793,0.146594
28,17.151638,27.359375,0.127015,16.950832,26.406374,0.113906
29,17.107299,27.344236,0.122305,16.749299,26.027572,0.115875
30,16.870967,27.070322,0.119508,16.66864,25.97415,0.117011
31,16.912388,27.021914,0.122616,16.782068,26.190872,0.117878
32,16.83991,26.924909,0.12182,16.605326,25.812503,0.124956
33,16.729365,26.734113,0.126445,16.522927,25.851692,0.110938
34,16.723078,26.801064,0.116496,16.399529,25.590117,0.112646
35,16.636782,26.612331,0.123082,16.411351,25.641823,0.119204
36,16.552565,26.465435,0.126305,16.281763,25.482452,0.114091
37,16.506334,26.434697,0.123906,16.373454,25.424255,0.133043
38,16.431045,26.28013,0.12756,16.208873,25.264251,0.126369
39,16.37221,26.322516,0.11652,16.043441,25.235735,0.108804
40,16.342591,26.213934,0.122253,16.12564,25.258437,0.118824
41,16.291526,26.122877,0.121478,15.896226,25.052575,0.108237
42,16.207079,26.052379,0.116689,16.21765,25.432053,0.110201
43,16.121471,25.963708,0.115471,15.900707,25.110486,0.107689
44,16.084278,25.868968,0.118295,15.800472,24.831647,0.119078
45,16.078234,25.82709,0.119405,15.786975,24.847209,0.111181
46,15.974116,25.739609,0.115604,15.785074,24.918243,0.109376
47,15.976731,25.681399,0.121701,15.936913,25.141177,0.112908
48,15.918005,25.654327,0.11551,16.270103,25.248139,0.138127
49,15.855936,25.578216,0.115614,15.803895,24.858218,0.119005
50,15.770772,25.512793,0.110981,15.889663,24.832925,0.116631
51,15.695833,25.377042,0.113695,15.568668,24.686028,0.106443
52,15.70304,25.375179,0.114285,15.597447,24.722249,0.104757
53,15.731198,25.372689,0.115772,15.736326,24.782715,0.119525
54,15.61162,25.237312,0.114588,15.519617,24.567773,0.104652
55,15.641491,25.309864,0.10998,15.565546,24.613382,0.105334
56,15.546516,25.203607,0.109786,15.483946,24.630404,0.105393
57,15.535388,25.169154,0.111843,15.405306,24.466208,0.112646
58,15.460539,25.020379,0.116329,15.379312,24.484213,0.104968
59,15.471879,25.045486,0.11388,15.442598,24.459002,0.104067
60,15.435928,25.057436,0.107774,15.362038,24.453463,0.104643
61,15.442621,24.977351,0.116578,15.382848,24.490778,0.105755
62,15.341174,24.888296,0.111721,15.347188,24.398168,0.107471
63,15.391599,24.960698,0.111302,15.28019,24.309877,0.105344
64,15.330984,24.884009,0.110222,15.294878,24.349845,0.105692
65,15.347839,24.880054,0.110729,15.331496,24.309209,0.120026
66,15.2661,24.754952,0.114403,15.397588,24.517977,0.108598
67,15.324235,24.846759,0.110707,15.344402,24.351849,0.10638
68,15.234917,24.736043,0.111284,15.287419,24.311286,0.105633
69,15.213207,24.721146,0.108989,15.274472,24.295103,0.105139
70,15.173361,24.700761,0.105015,15.171446,24.233543,0.102692
71,15.11204,24.554607,0.114125,15.578872,24.611798,0.123615
72,15.133028,24.620735,0.105975,15.252224,24.410483,0.103811
73,15.100165,24.605513,0.104867,15.412915,24.568534,0.106577
74,15.050363,24.519664,0.10682,15.247913,24.321557,0.105538
75,15.074335,24.555457,0.10449,15.277047,24.363509,0.105564
76,14.985845,24.413902,0.109578,15.411251,24.484495,0.106411
77,14.989442,24.414552,0.107927,15.200545,24.204993,0.110586
78,14.941117,24.348804,0.107631,15.080734,24.123051,0.102753
79,14.923587,24.33634,0.106488,15.3148,24.263847,0.115982
80,14.932456,24.303844,0.111646,15.139258,24.181222,0.115657
81,14.937687,24.334617,0.107511,15.112591,24.150881,0.111836
82,14.864505,24.223532,0.109529,15.189263,24.169629,0.109501
